feature,importance
magic_header_score,0.24490737388141406
entropy_max,0.1429402217787473
entropy,0.0763366213677879
chi_square,0.07488012184221013
ascii_ratio,0.04133246983000316
base64_charset_ratio,0.040979931447411876
variance,0.04011640901101741
std_dev,0.039646973366732535
kurtosis,0.03719714197870672
mean,0.03574595269824901
compression_ratio,0.02885301275383131
entropy_mean,0.024713662871193698
file_size,0.0196099533396301
entropy_min,0.01944673256471119
skewness,0.01828252999262731
entropy_std,0.016041240958546914
entropy_range,0.013608198050323045
entropy_periodicity,0.012902553599807312
median,0.012176719624457445
high_entropy_ratio,0.01199978670080155
entropy_shock_score,0.010158562150158418
block_repeat_score,0.009209553757919285
format_consistency_score,0.0069266226870332345
entropy_transition_count,0.005246113666535038
semantic_anomaly_score,0.005119287404132448
low_entropy_ratio,0.004218412506497863
entropy_spike_count,0.003971599872048792
ransomware_score,0.0019616167121481384
flat_entropy_score,0.0009990827275676664
structural_damage_score,0.000471540857749089
